X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2023-01-31
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2023-01-31
,,,,,,,,,,2023-01-31
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-31
,,,,,,,,,,2023-01-31
Feb 2023,"7,503.0","7,508.0","7,503.0","7,508.0","7,496.0",-2.0,46,-,10,2023-01-31
Mar 2023,"7,427.0","7,457.0","7,402.0","7,424.0","7,425.0",-2.0,"284,981","10,127","51,887",2023-01-31
Apr 2023,-,-,-,-,"7,425.0",-2.0,-,-,-,2023-01-31
Jun 2023,-,-,-,-,"7,457.0",-2.0,"1,126",4,4,2023-01-31
Sep 2023,-,-,-,-,"7,390.0",-2.0,-,-,-,2023-01-31
Dec 2023,-,-,-,-,"7,371.0",-2.0,-,-,-,2023-01-31
Mar 2024,-,-,-,-,"7,304.0",-2.0,-,-,-,2023-01-31
Jun 2024,-,-,-,-,"7,304.0",-2.0,-,-,-,2023-01-31
,,,,,,,,,,2023-01-31
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"286,153","10,131","51,901",2023-01-31
,,,,,,,,,,2023-01-31
,,,,,,,,,,2023-01-31
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2023-01-31
,,,,,,,,,,2023-01-31
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-31
,,,,,,,,,,2023-01-31
Mar 2023,"1,446.0","1,446.0","1,435.0","1,435.0","1,435.0",-15.0,"4,250",-13,19,2023-01-31
Jun 2023,-,-,-,-,"1,435.0",-15.0,-,-,-,2023-01-31
Sep 2023,-,-,-,-,"1,439.0",-15.0,-,-,-,2023-01-31
Dec 2023,-,-,-,-,"1,453.0",-15.0,-,-,-,2023-01-31
,,,,,,,,,,2023-01-31
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"4,250",-13,19,2023-01-31
,,,,,,,,,,2023-01-31
,,,,,,,,,,2023-01-31
AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),AF - S&P / ASX 200 Financials-x-A-REIT Index (A$25 x Index),2023-01-31
,,,,,,,,,,2023-01-31
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2023-01-31
,,,,,,,,,,2023-01-31
Mar 2023,-,-,-,-,"7,447.0",-,7,-,-,2023-01-31
Jun 2023,-,-,-,-,"7,447.0",-,-,-,-,2023-01-31
Sep 2023,-,-,-,-,"7,372.0",-,-,-,-,2023-01-31
Dec 2023,-,-,-,-,"7,394.0",-,-,-,-,2023-01-31
,,,,,,,,,,2023-01-31
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,7,-,-,2023-01-31
,,,,,,,,,,2023-01-31
,,,,,,,,,,2023-01-31
